municipality,Population (2020)[2],Area,Brgy.,Class,Province,Column8,Column9,Column10
Bangued*,50382,105.7,476.65,31,Mun,Abra,,,
Boliney,4551,216.92,20.98,8,Mun,Abra,,,
Bucay,17953,102.16,175.73,21,Mun,Abra,,,
Bucloc,2395,63.77,37.56,4,Mun,Abra,,,
Daguioman,2019,114.37,17.65,4,Mun,Abra,,,
Danglas,4074,156.02,26.11,7,Mun,Abra,,,
Dolores,11512,47.45,242.61,15,Mun,Abra,,,
La Paz,16493,51.41,320.81,12,Mun,Abra,,,
Lacub,3612,295.3,12.23,6,Mun,Abra,,,
Lagangilang,14914,101.44,147.02,17,Mun,Abra,,,
Lagayan,4488,215.97,20.78,5,Mun,Abra,,,
Langiden,3576,116.29,30.75,6,Mun,Abra,,,
Licuan-Baay,4566,256.42,17.81,11,Mun,Abra,,,
Luba,6518,148.27,43.96,8,Mun,Abra,,,
Malibcong,4027,283.17,14.22,12,Mun,Abra,,,
Manabo,11611,110.95,104.65,11,Mun,Abra,,,
Penarrubia,6951,38.29,181.54,9,Mun,Abra,,,
Pidigan,12475,49.15,253.81,15,Mun,Abra,,,
Pilar,10146,66.1,153.49,19,Mun,Abra,,,
Sallapadan,6389,128.62,49.67,9,Mun,Abra,,,
San Isidro,4745,48.07,98.71,9,Mun,Abra,,,
San Juan,10688,64.08,166.79,19,Mun,Abra,,,
San Quintin,5705,66.59,85.67,6,Mun,Abra,,,
Tayum,14869,61.14,243.2,11,Mun,Abra,,,
Tineg,4977,744.8,6.68,10,Mun,Abra,,,
Tubo,5674,409.87,13.84,10,Mun,Abra,,,
Villaviciosa,5675,102.93,55.13,8,Mun,Abra,,,
Buenavista,68892,475.61,144.85,25,Mun,Agusan del Norte,,,
Butuan*,372910,816.62,456.65,86,HUC,Agusan del Norte,,,
Cabadbaran,80354,214.44,374.72,31,CC,Agusan del Norte,,,
Carmen,23172,311.02,74.5,8,Mun,Agusan del Norte,,,
Jabonga,24855,293,84.83,15,Mun,Agusan del Norte,,,
Kitcharao,21278,171.92,123.77,11,Mun,Agusan del Norte,,,
Las Nieves,30240,582.69,51.9,20,Mun,Agusan del Norte,,,
Magallanes,22293,44.31,503.11,8,Mun,Agusan del Norte,,,
Nasipit,44822,144.4,310.4,19,Mun,Agusan del Norte,,,
Remedios T. Romualdez,17155,79.15,216.74,8,Mun,Agusan del Norte,,,
Santiago,28657,275.61,103.98,9,Mun,Agusan del Norte,,,
Tubay,25785,138.09,186.73,13,Mun,Agusan del Norte,,,
Bayugan*,109499,688.77,158.98,43,CC,Agusan del Sur,,,
Bunawan,47512,512.16,92.77,10,Mun,Agusan del Sur,,,
Esperanza,59353,1355.48,43.79,47,Mun,Agusan del Sur,,,
La Paz,30969,1481.12,20.91,15,Mun,Agusan del Sur,,,
Loreto,43880,1462.74,30,17,Mun,Agusan del Sur,,,
Prosperidad,88321,505.15,174.84,32,Mun,Agusan del Sur,,,
Rosario,49610,385.05,128.84,11,Mun,Agusan del Sur,,,
San Francisco,80760,392.53,205.74,27,Mun,Agusan del Sur,,,
San Luis,35196,950.5,37.03,25,Mun,Agusan del Sur,,,
Santa Josefa,26432,341.8,77.33,11,Mun,Agusan del Sur,,,
Sibagat,33957,567.82,59.8,24,Mun,Agusan del Sur,,,
Talacogon,39678,405.25,97.91,16,Mun,Agusan del Sur,,,
Trento,54492,555.7,98.06,16,Mun,Agusan del Sur,,,
Veruela,39708,385.45,103.02,20,Mun,Agusan del Sur,,,
Altavas,25639,109.05,235.11,14,Mun,Aklan,,,
